goos: linux
goarch: amd64
pkg: bench-hashmaps
cpu: Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz
BenchmarkU32RandomShuffleInserts/std-50000-8      	       2	   2493596 ns/op	   3620520 Bytes	        -1.000 Load	     50000 N-runs	 1623576 B/op	    1856 allocs/op
BenchmarkU32RandomShuffleInserts/robin-50000-8    	       2	   1645226 ns/op	   3519400 Bytes	         0.7629 Load	     50000 N-runs	 1572768 B/op	      14 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-50000-8         	       2	   1494250 ns/op	   3321328 Bytes	         0.3815 Load	     50000 N-runs	 3145632 B/op	      15 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-50000-8            	       2	   2914724 ns/op	   1698736 Bytes	         0.7629 Load	     50000 N-runs	 1848512 B/op	   50014 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-50000-8                	       2	   2184122 ns/op	   2735040 Bytes	        -1.000 Load	     50000 N-runs	 1179360 B/op	      24 allocs/op
BenchmarkU32RandomShuffleInserts/generic-50000-8              	       2	   2399967 ns/op	   2733816 Bytes	        -1.000 Load	     50000 N-runs	 3145704 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/flat-50000-8                 	       2	   1437194 ns/op	   2209616 Bytes	         0.3815 Load	     50000 N-runs	 2097088 B/op	      15 allocs/op
BenchmarkU32RandomShuffleInserts/std-100000-8                 	       2	   5207366 ns/op	   2992888 Bytes	        -1.000 Load	    100000 N-runs	 3276052 B/op	    3900 allocs/op
BenchmarkU32RandomShuffleInserts/robin-100000-8               	       2	   3483083 ns/op	   3619112 Bytes	         0.7629 Load	    100000 N-runs	 3145632 B/op	      15 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-100000-8        	       2	   3892152 ns/op	   6076888 Bytes	         0.3815 Load	    100000 N-runs	 6291408 B/op	      16 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-100000-8           	       2	   6394982 ns/op	   3220592 Bytes	         0.7629 Load	    100000 N-runs	 3697092 B/op	  100015 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-100000-8               	       2	   4179660 ns/op	   2636408 Bytes	        -1.000 Load	    100000 N-runs	 2359008 B/op	      26 allocs/op
BenchmarkU32RandomShuffleInserts/generic-100000-8             	       2	   4515964 ns/op	   5290776 Bytes	        -1.000 Load	    100000 N-runs	 6291432 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/flat-100000-8                	       2	   3021730 ns/op	   3718336 Bytes	         0.3815 Load	    100000 N-runs	 4194240 B/op	      16 allocs/op
BenchmarkU32RandomShuffleInserts/std-200000-8                 	       2	  10474764 ns/op	   5814256 Bytes	        -1.000 Load	    200000 N-runs	 6573184 B/op	    7998 allocs/op
BenchmarkU32RandomShuffleInserts/robin-200000-8               	       2	   7014580 ns/op	   6479232 Bytes	         0.7629 Load	    200000 N-runs	 6291408 B/op	      16 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-200000-8        	       2	   8446664 ns/op	  11984336 Bytes	         0.3815 Load	    200000 N-runs	12582816 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-200000-8           	       2	  15317016 ns/op	   6273704 Bytes	         0.7629 Load	    200000 N-runs	 7395344 B/op	  200018 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-200000-8               	       2	   9647734 ns/op	   4515504 Bytes	        -1.000 Load	    200000 N-runs	 4718304 B/op	      28 allocs/op
BenchmarkU32RandomShuffleInserts/generic-200000-8             	       2	  10552722 ns/op	  10413808 Bytes	        -1.000 Load	    200000 N-runs	12582888 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/flat-200000-8                	       2	   7947915 ns/op	   7268152 Bytes	         0.3815 Load	    200000 N-runs	 8388544 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/std-400000-8                 	       2	  24452744 ns/op	  11462280 Bytes	        -1.000 Load	    400000 N-runs	13164664 B/op	   16117 allocs/op
BenchmarkU32RandomShuffleInserts/robin-400000-8               	       2	  22530190 ns/op	  12790024 Bytes	         0.7629 Load	    400000 N-runs	12582864 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-400000-8        	       2	  25166834 ns/op	  23800256 Bytes	         0.3815 Load	    400000 N-runs	25165728 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-400000-8           	       2	  31912738 ns/op	  14472128 Bytes	         0.7629 Load	    400000 N-runs	14788640 B/op	  400018 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-400000-8               	       2	  20484100 ns/op	   8858568 Bytes	        -1.000 Load	    400000 N-runs	 9436896 B/op	      30 allocs/op
BenchmarkU32RandomShuffleInserts/generic-400000-8             	       2	  20865031 ns/op	  20656344 Bytes	        -1.000 Load	    400000 N-runs	25165800 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/flat-400000-8                	       2	  17272594 ns/op	  14364784 Bytes	         0.3815 Load	    400000 N-runs	16777152 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/std-600000-8                 	       2	  48105166 ns/op	  20368176 Bytes	        -1.000 Load	    600000 N-runs	24878896 B/op	   19026 allocs/op
BenchmarkU32RandomShuffleInserts/robin-600000-8               	       2	  65097523 ns/op	  24596080 Bytes	         0.5722 Load	    600000 N-runs	25165728 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-600000-8        	       2	  49127604 ns/op	  46616256 Bytes	         0.2861 Load	    600000 N-runs	50331552 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-600000-8           	       2	  65530173 ns/op	  24759024 Bytes	         0.5722 Load	    600000 N-runs	26377152 B/op	  600018 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-600000-8               	       2	  38478282 ns/op	  16731896 Bytes	        -1.000 Load	    600000 N-runs	18874080 B/op	      32 allocs/op
