goos: linux
goarch: amd64
pkg: bench-hashmaps
cpu: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz
BenchmarkU32RandomShuffleInserts/std-50000-8      	       2	   2657790 ns/op	   3635560 Bytes	        -1.000 Load	     50000 N-runs	 1630000 B/op	    1870 allocs/op
BenchmarkU32RandomShuffleInserts/robin-50000-8    	       2	   1798786 ns/op	   3521528 Bytes	         0.7629 Load	     50000 N-runs	 1572768 B/op	      14 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-50000-8         	       2	   1704886 ns/op	   3421744 Bytes	         0.3815 Load	     50000 N-runs	 3145632 B/op	      15 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-50000-8            	       2	   3403490 ns/op	   1960784 Bytes	         0.7629 Load	     50000 N-runs	 1848512 B/op	   50014 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-50000-8                	       2	   2278263 ns/op	   2734952 Bytes	        -1.000 Load	     50000 N-runs	 1179360 B/op	      24 allocs/op
BenchmarkU32RandomShuffleInserts/generic-50000-8              	       2	   2400752 ns/op	   2733712 Bytes	        -1.000 Load	     50000 N-runs	 3145708 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/flat-50000-8                 	       2	   1541192 ns/op	   2209512 Bytes	         0.3815 Load	     50000 N-runs	 2097088 B/op	      15 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-50000-8            	       2	   2242884 ns/op	   2373512 Bytes	         0.7626 Load	     50000 N-runs	 2190064 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-50000-8     	       2	   2796275 ns/op	   3537216 Bytes	         0.3814 Load	     50000 N-runs	 4348352 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/std-100000-8                 	       2	   5761562 ns/op	   2995192 Bytes	        -1.000 Load	    100000 N-runs	 3275352 B/op	    3957 allocs/op
BenchmarkU32RandomShuffleInserts/robin-100000-8               	       2	   3994687 ns/op	   3324312 Bytes	         0.7629 Load	    100000 N-runs	 3145632 B/op	      15 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-100000-8        	       2	   4449531 ns/op	   6470120 Bytes	         0.3815 Load	    100000 N-runs	 6291360 B/op	      16 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-100000-8           	       2	   7947772 ns/op	   3777560 Bytes	         0.7629 Load	    100000 N-runs	 3697088 B/op	  100015 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-100000-8               	       2	   4519516 ns/op	   2784128 Bytes	        -1.000 Load	    100000 N-runs	 2359008 B/op	      26 allocs/op
BenchmarkU32RandomShuffleInserts/generic-100000-8             	       2	   4811396 ns/op	   5290944 Bytes	        -1.000 Load	    100000 N-runs	 6291432 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/flat-100000-8                	       2	   3237801 ns/op	   3718160 Bytes	         0.3815 Load	    100000 N-runs	 4194240 B/op	      16 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-100000-8           	       2	   5039090 ns/op	   3734816 Bytes	         0.7628 Load	    100000 N-runs	 4299072 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-100000-8    	       2	   5455848 ns/op	   6880704 Bytes	         0.3815 Load	    100000 N-runs	 8459840 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/std-200000-8                 	       2	  11976691 ns/op	   5816576 Bytes	        -1.000 Load	    200000 N-runs	 6585176 B/op	    7954 allocs/op
BenchmarkU32RandomShuffleInserts/robin-200000-8               	       2	   7913584 ns/op	   6675984 Bytes	         0.7629 Load	    200000 N-runs	 6291360 B/op	      16 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-200000-8        	       2	   9065466 ns/op	  11984576 Bytes	         0.3815 Load	    200000 N-runs	12582864 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-200000-8           	       2	  16572630 ns/op	   7322424 Bytes	         0.7629 Load	    200000 N-runs	 7395296 B/op	  200018 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-200000-8               	       2	  10364309 ns/op	   4515744 Bytes	        -1.000 Load	    200000 N-runs	 4718352 B/op	      28 allocs/op
BenchmarkU32RandomShuffleInserts/generic-200000-8             	       2	  10304487 ns/op	  10414224 Bytes	        -1.000 Load	    200000 N-runs	12582888 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/flat-200000-8                	       2	   7128190 ns/op	   7268664 Bytes	         0.3815 Load	    200000 N-runs	 8388544 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-200000-8           	       2	  10191667 ns/op	   7285224 Bytes	         0.7628 Load	    200000 N-runs	 8609728 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-200000-8    	       2	  14246460 ns/op	  13578168 Bytes	         0.3815 Load	    200000 N-runs	16938688 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/std-400000-8                 	       2	  24955089 ns/op	  11470040 Bytes	        -1.000 Load	    400000 N-runs	13160544 B/op	   16064 allocs/op
BenchmarkU32RandomShuffleInserts/robin-400000-8               	       2	  23040619 ns/op	  12987912 Bytes	         0.7629 Load	    400000 N-runs	12582864 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-400000-8        	       2	  26270912 ns/op	  23801528 Bytes	         0.3815 Load	    400000 N-runs	25165728 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-400000-8           	       2	  35911658 ns/op	  14473128 Bytes	         0.7629 Load	    400000 N-runs	14788592 B/op	  400017 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-400000-8               	       2	  20362699 ns/op	   8859568 Bytes	        -1.000 Load	    400000 N-runs	 9436896 B/op	      30 allocs/op
BenchmarkU32RandomShuffleInserts/generic-400000-8             	       2	  21956878 ns/op	  20656208 Bytes	        -1.000 Load	    400000 N-runs	25165800 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/flat-400000-8                	       2	  20523646 ns/op	  14364920 Bytes	         0.3815 Load	    400000 N-runs	16777152 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-400000-8           	       2	  27446834 ns/op	  14381480 Bytes	         0.7629 Load	    400000 N-runs	17136448 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-400000-8    	       2	  41235695 ns/op	  43750152 Bytes	         0.3815 Load	    400000 N-runs	51492688 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/std-600000-8                 	       2	  46879098 ns/op	  20369912 Bytes	        -1.000 Load	    600000 N-runs	24861376 B/op	   19059 allocs/op
BenchmarkU32RandomShuffleInserts/robin-600000-8               	       2	  69357406 ns/op	  26170296 Bytes	         0.5722 Load	    600000 N-runs	25165776 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-600000-8        	       2	  53701126 ns/op	  46617704 Bytes	         0.2861 Load	    600000 N-runs	50331600 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-600000-8           	       2	  66961798 ns/op	  24760472 Bytes	         0.5722 Load	    600000 N-runs	26377152 B/op	  600018 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-600000-8               	       2	  40569964 ns/op	  16733536 Bytes	        -1.000 Load	    600000 N-runs	18874176 B/op	      33 allocs/op
BenchmarkU32RandomShuffleInserts/generic-600000-8             	       2	  39751259 ns/op	  40326736 Bytes	        -1.000 Load	    600000 N-runs	50331624 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/flat-600000-8                	       2	  31153414 ns/op	  27744088 Bytes	         0.2861 Load	    600000 N-runs	33554368 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-600000-8           	       2	  88984304 ns/op	  44545960 Bytes	         0.5722 Load	    600000 N-runs	50575680 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-600000-8    	       2	  86049308 ns/op	  52926440 Bytes	         0.2861 Load	    600000 N-runs	117578176 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/std-800000-8                 	       2	  61025054 ns/op	  22708984 Bytes	        -1.000 Load	    800000 N-runs	26397664 B/op	   32327 allocs/op
BenchmarkU32RandomShuffleInserts/robin-800000-8               	       2	 123832170 ns/op	  25401688 Bytes	         0.7629 Load	    800000 N-runs	25165728 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-800000-8        	       2	  46836662 ns/op	  47422040 Bytes	         0.3815 Load	    800000 N-runs	50331552 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-800000-8           	       2	  92739834 ns/op	  24570504 Bytes	         0.7629 Load	    800000 N-runs	29577152 B/op	  800018 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-800000-8               	       2	  42115400 ns/op	  17537776 Bytes	        -1.000 Load	    800000 N-runs	18874128 B/op	      32 allocs/op
BenchmarkU32RandomShuffleInserts/generic-800000-8             	       2	  47444436 ns/op	  41131072 Bytes	        -1.000 Load	    800000 N-runs	50331672 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/flat-800000-8                	       2	  35309494 ns/op	  28548232 Bytes	         0.3815 Load	    800000 N-runs	33554368 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-800000-8           	       2	 115675298 ns/op	  53733536 Bytes	         0.3815 Load	    800000 N-runs	84527472 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-800000-8    	       2	  76159782 ns/op	  53733792 Bytes	         0.3815 Load	    800000 N-runs	100783856 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/std-1000000-8                	       2	  99976914 ns/op	  39500064 Bytes	        -1.000 Load	   1000000 N-runs	49499424 B/op	   38286 allocs/op
BenchmarkU32RandomShuffleInserts/robin-1000000-8              	       2	 130547584 ns/op	  73591312 Bytes	         0.4768 Load	   1000000 N-runs	50331552 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-1000000-8       	       2	  51420063 ns/op	  48424448 Bytes	         0.4768 Load	   1000000 N-runs	50331600 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-1000000-8          	       2	 118128538 ns/op	  32770608 Bytes	         0.9537 Load	   1000000 N-runs	32777152 B/op	 1000018 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-1000000-8              	       2	  79258228 ns/op	  32499544 Bytes	        -1.000 Load	   1000000 N-runs	37748496 B/op	      34 allocs/op
BenchmarkU32RandomShuffleInserts/generic-1000000-8            	       2	  59366963 ns/op	  41936792 Bytes	        -1.000 Load	   1000000 N-runs	50331624 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/flat-1000000-8               	       2	  38304294 ns/op	  29354048 Bytes	         0.4768 Load	   1000000 N-runs	33554416 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-1000000-8          	       2	 128218985 ns/op	  71321840 Bytes	         0.4768 Load	   1000000 N-runs	85051760 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-1000000-8   	       2	  65524472 ns/op	  54536496 Bytes	         0.4768 Load	   1000000 N-runs	69318336 B/op	      21 allocs/op
